week,Video,Video title,Video publish time,Unique viewers,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%),weeknum,section,tot_sec
week2,4cfkNnwJH4A,Describing data pre-lab (formula) video 1 of 1,"Sep 14, 2020",31,66,9.452,0,317,7.26,2,formula,1299
week2,vMZXK_RJ-_k,Describing data pre-lab (tidy) video 1 of 1,"Sep 16, 2020",27,58,7.7649,1,101,17.82,2,tidy,1292
week3,_nztp2ZGd6I,Categorical variables pre-lab (formula) part 1/2,"Sep 22, 2020",34,60,8.2932,0,265,9.06,3,formula,1204
week3,JgejphW9re0,Categorical variables pre-lab (formula) part 2/2,"Sep 22, 2020",27,48,3.6304,0,178,13.48,3,formula,473
week3,Q3HJSCG3GOQ,Categorical variables pre-lab (tidy) part 2/2,"Sep 24, 2020",25,39,4.364,0,125,12.8,3,tidy,756
week3,Ir-LeWndP70,Categorical variables pre-lab (tidy) part 1/2,"Sep 24, 2020",26,38,7.1932,0,127,7.87,3,tidy,1361
week4,K0GPIZBJd_0,Quantitative variables pre-lab (formula) part 1/2,"Sep 28, 2020",25,46,6.2361,0,197,7.11,4,formula,1098
week4,f2TKQYizfqA,Quantitative variables pre-lab (tidy) part 1/2,"Sep 30, 2020",24,45,5.3269,0,163,14.11,4,tidy,950
week4,siB6pydmQYY,Quantitative variables pre-lab (tidy) part 2/2,"Sep 30, 2020",25,39,2.3034,0,139,15.11,4,tidy,524
week4,sdD982FqoYA,Quantitative variables pre-lab (formula) part 2/2,"Sep 28, 2020",19,38,1.7508,0,165,11.52,4,formula,374
week5,j5mu5XcJD_w,Regression pre-lab (tidy) video 1 of 1,"Oct 7, 2020",23,37,5.7788,0,82,6.1,5,tidy,1196
week5,VVqvEgYkNcs,Regression pre-lab (formula) video 1 of 1,"Oct 6, 2020",22,28,6.3498,1,149,2.01,5,formula,1130
week6,31Gy5OnjcPA,Bootstrap pre-lab (formula) part 2/2,"Mar 27, 2020",18,33,4.8728,0,31,35.48,6,formula,982
week6,AyK0ko_aEWw,Bootstrap pre-lab (formula) part 1/2,"Mar 27, 2020",20,32,1.1977,0,50,16,6,formula,271
