section,text,n
formula,aov,1
formula,chisq.test,2
formula,confint,1
formula,cor,2
formula,data.frame,2
formula,diff,4
formula,do,6
formula,factorize,1
formula,favstats,1
formula,filter,2
formula,fivenum,1
formula,gf_bar,5
formula,gf_boxplot,4
formula,gf_density,1
formula,gf_histogram,11
formula,gf_point,2
formula,library,33
formula,lm,4
formula,mean,14
formula,median,1
formula,nrow,1
formula,options,4
formula,pdata,1
formula,pnorm,1
formula,predict,2
formula,prop.test,4
formula,pt,1
formula,qnorm,1
formula,qt,1
formula,read.csv,11
formula,resample,6
formula,sd,2
formula,set,11
formula,set.seed,5
formula,shuffle,2
formula,sqrt,3
formula,summary,4
formula,t.test,5
formula,tally,11
formula,transform,1
formula,TukeyHSD,1
tidy,aes,23
tidy,aov,1
tidy,as_factor,1
tidy,c,7
tidy,calculate,2
tidy,chisq_test,2
tidy,cor,2
tidy,data.frame,2
tidy,drop_na,17
tidy,filter,2
tidy,fivenum,1
tidy,generate,7
tidy,geom_bar,5
tidy,geom_boxplot,4
tidy,geom_density,1
tidy,geom_histogram,11
tidy,geom_point,2
tidy,get_ci,1
tidy,get_p_value,2
tidy,ggplot,25
tidy,group_by,16
tidy,help,1
tidy,hypothesize,2
tidy,IQR,1
tidy,library,33
tidy,lm,4
tidy,max,2
tidy,mean,15
tidy,median,2
tidy,min,2
tidy,mutate,19
tidy,n,15
tidy,nrow,1
tidy,pnorm,2
tidy,predict,2
tidy,prop_test,6
tidy,pt,1
tidy,pull,1
tidy,qnorm,1
tidy,qt,2
tidy,quantile,2
tidy,read_csv,11
tidy,sd,4
tidy,set,12
tidy,set.seed,6
tidy,specify,7
tidy,sqrt,8
tidy,sum,9
tidy,summarize,33
tidy,summary,4
tidy,t_test,6
tidy,TukeyHSD,1
