section,text,n
formula,aov,1
formula,c,1
formula,chisq.test,2
formula,confint,1
formula,cor,1
formula,data.frame,2
formula,do,2
formula,favstats,1
formula,filter,1
formula,fivenum,1
formula,gf_bar,3
formula,gf_boxplot,2
formula,gf_histogram,1
formula,gf_point,1
formula,IQR,1
formula,is.na,2
formula,library,3
formula,lm,1
formula,mean,2
formula,median,1
formula,options,1
formula,pnorm,1
formula,predict,2
formula,prop.test,2
formula,qnorm,1
formula,range,1
formula,read.csv,1
formula,resample,2
formula,rsquared,1
formula,sd,1
formula,set,1
formula,summary,2
formula,t.test,2
formula,tally,4
formula,TukeyHSD,1
tidy,aes,7
tidy,aov,1
tidy,c,3
tidy,calculate,1
tidy,chisq_test,2
tidy,cor,1
tidy,data.frame,2
tidy,drop_na,7
tidy,filter,1
tidy,fivenum,1
tidy,generate,2
tidy,geom_bar,3
tidy,geom_boxplot,2
tidy,geom_histogram,1
tidy,geom_point,1
tidy,ggplot,7
tidy,group_by,2
tidy,IQR,1
tidy,library,3
tidy,lm,1
tidy,max,2
tidy,mean,2
tidy,median,3
tidy,min,2
tidy,mutate,3
tidy,n,2
tidy,parse_number,1
tidy,pnorm,1
tidy,predict,2
tidy,prop_test,2
tidy,pull,1
tidy,qnorm,1
tidy,quantile,2
tidy,read_csv,1
tidy,sd,1
tidy,set,1
tidy,specify,2
tidy,sum,2
tidy,summarize,8
tidy,summary,2
tidy,t_test,2
tidy,TukeyHSD,1
