file,lines,section
DescribingData,34,tidy
CategoricalVariables,93,tidy
QuantitativeVariables,125,tidy
Regression,74,tidy
Bootstrap,106,tidy
Randomization,98,tidy
InferenceSingleProportion,136,tidy
InferenceSingleMean,115,tidy
TwoSample,119,tidy
ANOVA,78,tidy
ChiSquare,64,tidy
RegressionInference,57,tidy
DescribingData,36,formula
CategoricalVariables,70,formula
QuantitativeVariables,89,formula
Regression,67,formula
Bootstrap,90,formula
Randomization,84,formula
InferenceSingle,114,formula
InferenceSingleProportion,103,formula
InferenceSingleMean,85,formula
TwoSample,89,formula
ANOVA,82,formula
ChiSquare,55,formula
RegressionInference,61,formula
