week,section,n_videos,watches,uniques,hours,tot_length,topic,tot_min,mpu,mps,percent_per_student,percent_per_user
2,formula,1,66,31,9.452,1299,Describing data,21.65,18.2941935483871,27.005714285714287,1.2473771032662488,0.8449973925352009
2,tidyverse,1,58,27,7.7649,1292,Describing data,21.533333333333335,17.255333333333333,22.18542857142857,1.030283060592658,0.8013312693498451
3,formula,2,54,30.5,11.9236,1677,Categorical variables,27.95,23.45626229508197,34.06742857142857,1.2188704318936878,0.8392222645825392
3,tidyverse,2,38.5,25.5,11.5572,2117,Categorical variables,35.28333333333333,27.193411764705882,33.02057142857143,0.9358688170591809,0.7707154964016784
4,formula,2,42,22,7.9869,1472,Quantitative variables,24.533333333333335,21.782454545454545,22.819714285714287,0.930151397515528,0.8878717885375493
4,tidyverse,2,42,24.5,7.6303,1474,Quantitative variables,24.566666666666666,18.686448979591834,21.80085714285714,0.8874161659236285,0.7606424279345387
5,formula,1,28,22,6.3498,1130,Regression,18.833333333333332,17.317636363636364,18.142285714285713,0.963307206068268,0.9195205148833469
5,tidyverse,1,37,23,5.7788,1196,Regression,19.933333333333334,15.07513043478261,16.510857142857144,0.8283038700430005,0.7562774465610005
6,formula,2,32.5,19,6.0705,1253,Bootstrap,20.883333333333333,19.17,17.344285714285714,0.8305324364382625,0.9179569034317638
6,tidyverse,2,25.5,17,4.1875,1229,Bootstrap,20.483333333333334,14.779411764705884,11.964285714285715,0.5840985702661863,0.7215335279758771
7,formula,1,30,20,4.9789,784,Randomization,13.066666666666666,14.936700000000002,14.225428571428573,1.0886807580174929,1.1431147959183676
7,tidyverse,1,30,17,3.7164,792,Randomization,13.2,13.116705882352942,10.618285714285715,0.8044155844155846,0.9936898395721927
8,formula,3,26.666666666666668,16.666666666666668,5.1186,1125,Inference for a single proportion,18.75,18.426959999999998,14.624571428571427,0.7799771428571428,0.9827711999999998
8,tidyverse,1,31,19,4.046,1028,Inference for a single proportion,17.133333333333333,12.776842105263158,11.56,0.6747081712062257,0.7457300839647758
9,formula,2,12.5,8,1.3755,996,Inference for a single mean,16.6,10.31625,3.93,0.2367469879518072,0.6214608433734939
9,tidyverse,1,27,19,2.6717,1017,Inference for a single mean,16.95,8.436947368421054,7.633428571428571,0.4503497682258744,0.4977550069864929
10,formula,2,17,13.5,3.8293999999999997,1159,Inference for two samples,19.316666666666666,17.019555555555552,10.941142857142856,0.5664094662886724,0.8810813920046016
10,tidyverse,2,21,11.5,3.3944,1642,Inference for two samples,27.366666666666667,17.709913043478263,9.698285714285715,0.35438315642944146,0.6471344595668062
13,formula,2,20,16,3.6465,937,ANOVA,15.616666666666667,13.674375,10.418571428571429,0.667144381765513,0.8756270010672358
13,tidyverse,2,25.5,13.5,4.4198,1136,ANOVA,18.933333333333334,19.643555555555558,12.628000000000002,0.6669718309859156,1.037511737089202
14,formula,1,21,18,1.7574,397,Chi-square,6.616666666666666,5.8580000000000005,5.021142857142857,0.7588629003238576,0.8853400503778339
14,tidyverse,1,26,21,2.1093,490,Chi-square,8.166666666666666,6.02657142857143,6.02657142857143,0.7379475218658894,0.7379475218658894
15,formula,3,18,15.333333333333334,4.8765,1619,Inference for regression,26.983333333333334,19.08195652173913,13.932857142857141,0.5163504808964969,0.7071756586191154
15,tidyverse,3,18.333333333333332,15,4.7176,1631,Inference for regression,27.183333333333334,18.8704,13.478857142857143,0.4958500481737759,0.6941900674432864
